GO.ID	term	gProfiler.p_value	clustProfiler.p_value	topGO.p_value	significant_count	included_count
GO:0001829	trophectodermal cell differentiation	NA	NA	0.02402	1	1
GO:0048490	anterograde synaptic vesicle transport	NA	NA	0.02402	1	1
GO:0006488	dolichol-linked oligosaccharide biosynth...	NA	NA	0.02402	1	1
GO:0045736	negative regulation of cyclin-dependent ...	NA	NA	0.02403	1	1
GO:0070131	positive regulation of mitochondrial tra...	NA	NA	0.02403	1	1
GO:0043491	phosphatidylinositol 3-kinase/protein ki...	NA	NA	0.0246	1	1
GO:0009749	response to glucose	NA	NA	0.02507	1	1
GO:0045995	regulation of embryonic development	NA	NA	0.02544	1	1
GO:0032024	positive regulation of insulin secretion	NA	NA	0.02616	1	1
GO:0006094	gluconeogenesis	NA	NA	0.02654	1	1
GO:2001237	negative regulation of extrinsic apoptot...	NA	NA	0.02668	1	1
GO:0006099	tricarboxylic acid cycle	NA	NA	0.02682	1	1
GO:0042177	negative regulation of protein catabolic...	NA	NA	0.02818	1	1
GO:0032418	lysosome localization	NA	NA	0.02839	1	1
GO:1900026	positive regulation of substrate adhesio...	NA	NA	0.0291	1	1
GO:0051496	positive regulation of stress fiber asse...	NA	NA	0.02975	1	1
GO:0032088	negative regulation of NF-kappaB transcr...	NA	NA	0.03048	1	1
GO:0070373	negative regulation of ERK1 and ERK2 cas...	NA	NA	0.03058	1	1
GO:0042542	response to hydrogen peroxide	NA	NA	0.0314	1	1
GO:2001244	positive regulation of intrinsic apoptot...	NA	NA	0.03152	1	1
GO:0043407	negative regulation of MAP kinase activi...	NA	NA	0.03186	1	1
GO:0071108	protein K48-linked deubiquitination	NA	NA	0.03192	1	1
GO:1900017	positive regulation of cytokine producti...	NA	NA	0.03196	1	1
GO:1901223	negative regulation of non-canonical NF-...	NA	NA	0.03196	1	1
GO:1902894	negative regulation of miRNA transcripti...	NA	NA	0.03196	1	1
GO:0044344	cellular response to fibroblast growth f...	NA	NA	0.03227	1	1
GO:0002821	positive regulation of adaptive immune r...	NA	NA	0.03253	1	1
GO:0042987	amyloid precursor protein catabolic proc...	NA	NA	0.03274	1	1
GO:0010324	membrane invagination	NA	NA	0.03289	1	1
GO:1901797	negative regulation of signal transducti...	NA	NA	0.0329	1	1
GO:0036498	IRE1-mediated unfolded protein response	NA	NA	0.03291	1	1
GO:0060544	regulation of necroptotic process	NA	NA	0.03293	1	1
GO:0009048	dosage compensation by inactivation of X...	NA	NA	0.03294	1	1
GO:0051127	positive regulation of actin nucleation	NA	NA	0.03299	1	1
GO:0044346	fibroblast apoptotic process	NA	NA	0.033	1	1
GO:0002191	cap-dependent translational initiation	NA	NA	0.03302	1	1
GO:0051224	negative regulation of protein transport	NA	NA	0.03302	1	1
GO:0072537	fibroblast activation	NA	NA	0.03302	1	1
GO:0006924	activation-induced cell death of T cells	NA	NA	0.03302	1	1
GO:0034982	mitochondrial protein processing	NA	NA	0.03303	1	1
GO:0000389	mRNA 3'-splice site recognition	NA	NA	0.03303	1	1
GO:0002502	peptide antigen assembly with MHC class ...	NA	NA	0.03303	1	1
GO:0002735	positive regulation of myeloid dendritic...	NA	NA	0.03303	1	1
GO:0006207	'de novo' pyrimidine nucleobase biosynth...	NA	NA	0.03303	1	1
GO:0010606	positive regulation of cytoplasmic mRNA ...	NA	NA	0.03303	1	1
GO:0021540	corpus callosum morphogenesis	NA	NA	0.03303	1	1
GO:0032020	ISG15-protein conjugation	NA	NA	0.03303	1	1
GO:0034499	late endosome to Golgi transport	NA	NA	0.03303	1	1
GO:0034983	peptidyl-lysine deacetylation	NA	NA	0.03303	1	1
GO:0035279	miRNA-mediated gene silencing by mRNA de...	NA	NA	0.03303	1	1
GO:0038173	interleukin-17A-mediated signaling pathw...	NA	NA	0.03303	1	1
GO:0042270	protection from natural killer cell medi...	NA	NA	0.03303	1	1
GO:0042998	positive regulation of Golgi to plasma m...	NA	NA	0.03303	1	1
GO:0046985	positive regulation of hemoglobin biosyn...	NA	NA	0.03303	1	1
GO:0061523	cilium disassembly	NA	NA	0.03303	1	1
GO:0075523	viral translational frameshifting	NA	NA	0.03303	1	1
GO:1903721	positive regulation of I-kappaB phosphor...	NA	NA	0.03303	1	1
GO:1904428	negative regulation of tubulin deacetyla...	NA	NA	0.03303	1	1
GO:1905870	positive regulation of 3'-UTR-mediated m...	NA	NA	0.03303	1	1
GO:2000210	positive regulation of anoikis	NA	NA	0.03303	1	1
GO:0048541	Peyer's patch development	NA	NA	0.03304	1	1
GO:0032025	response to cobalt ion	NA	NA	0.03304	1	1
GO:0002829	negative regulation of type 2 immune res...	NA	NA	0.03306	1	1
GO:0048820	hair follicle maturation	NA	NA	0.03306	1	1
GO:0048864	stem cell development	NA	NA	0.03326	1	1
GO:0061025	membrane fusion	NA	NA	0.03333	1	1
GO:0007259	cell surface receptor signaling pathway ...	NA	NA	0.03364	1	1
GO:0032727	positive regulation of interferon-alpha ...	NA	NA	0.03377	1	1
GO:0099149	regulation of postsynaptic neurotransmit...	NA	NA	0.03377	1	1
GO:0071479	cellular response to ionizing radiation	NA	NA	0.03512	1	1
GO:0000462	maturation of SSU-rRNA from tricistronic...	NA	NA	0.03545	1	1
GO:2000378	negative regulation of reactive oxygen s...	NA	NA	0.03734	1	1
GO:0002223	stimulatory C-type lectin receptor signa...	NA	NA	0.03742	1	1
GO:0032874	positive regulation of stress-activated ...	NA	NA	0.03742	1	1
GO:0036120	cellular response to platelet-derived gr...	NA	NA	0.03742	1	1
GO:1902806	regulation of cell cycle G1/S phase tran...	NA	NA	0.03813	1	1
GO:0061028	establishment of endothelial barrier	NA	NA	0.03884	1	1
GO:0032675	regulation of interleukin-6 production	NA	NA	0.03892	1	1
GO:0006473	protein acetylation	NA	NA	0.03894	1	1
GO:1904357	negative regulation of telomere maintena...	NA	NA	0.03906	1	1
GO:1900015	regulation of cytokine production involv...	NA	NA	0.03909	1	1
GO:0098884	postsynaptic neurotransmitter receptor i...	NA	NA	0.0391	1	1
GO:0038096	Fc-gamma receptor signaling pathway invo...	NA	NA	0.03912	1	1
GO:0031954	positive regulation of protein autophosp...	NA	NA	0.03916	1	1
GO:0090435	protein localization to nuclear envelope	NA	NA	0.03916	1	1
GO:0061952	midbody abscission	NA	NA	0.03917	1	1
GO:0007213	G protein-coupled acetylcholine receptor...	NA	NA	0.03918	1	1
GO:0030223	neutrophil differentiation	NA	NA	0.03919	1	1
GO:0061154	endothelial tube morphogenesis	NA	NA	0.03919	1	1
GO:0000056	ribosomal small subunit export from nucl...	NA	NA	0.03924	1	1
GO:0007207	phospholipase C-activating G protein-cou...	NA	NA	0.03924	1	1
GO:0010637	negative regulation of mitochondrial fus...	NA	NA	0.03924	1	1
GO:0010756	positive regulation of plasminogen activ...	NA	NA	0.03924	1	1
GO:0010793	regulation of mRNA export from nucleus	NA	NA	0.03924	1	1
GO:0018095	protein polyglutamylation	NA	NA	0.03924	1	1
GO:0030422	siRNA processing	NA	NA	0.03924	1	1
GO:0034475	U4 snRNA 3'-end processing	NA	NA	0.03924	1	1
GO:0038111	interleukin-7-mediated signaling pathway	NA	NA	0.03924	1	1
GO:0038113	interleukin-9-mediated signaling pathway	NA	NA	0.03924	1	1
GO:0038172	interleukin-33-mediated signaling pathwa...	NA	NA	0.03924	1	1
GO:0039536	negative regulation of RIG-I signaling p...	NA	NA	0.03924	1	1
GO:0042473	outer ear morphogenesis	NA	NA	0.03924	1	1
GO:0048227	plasma membrane to endosome transport	NA	NA	0.03924	1	1
GO:0051086	chaperone mediated protein folding indep...	NA	NA	0.03924	1	1
GO:0051683	establishment of Golgi localization	NA	NA	0.03924	1	1
GO:0060509	type I pneumocyte differentiation	NA	NA	0.03924	1	1
GO:0071051	poly(A)-dependent snoRNA 3'-end processi...	NA	NA	0.03924	1	1
GO:0106035	protein maturation by [4Fe-4S] cluster t...	NA	NA	0.03924	1	1
GO:1903896	positive regulation of IRE1-mediated unf...	NA	NA	0.03924	1	1
GO:0035924	cellular response to vascular endothelia...	NA	NA	0.03938	1	1
GO:0060993	kidney morphogenesis	NA	NA	0.03945	1	1
GO:0048598	embryonic morphogenesis	NA	NA	0.03946	1	1
GO:0045216	cell-cell junction organization	NA	NA	0.03947	1	1
GO:0006635	fatty acid beta-oxidation	NA	NA	0.04042	1	1
GO:0031124	mRNA 3'-end processing	NA	NA	0.04043	1	1
GO:0043086	negative regulation of catalytic activit...	NA	NA	0.04055	1	1
GO:0120009	intermembrane lipid transfer	NA	NA	0.04069	1	1
GO:0060325	face morphogenesis	NA	NA	0.04072	1	1
GO:0042953	lipoprotein transport	NA	NA	0.04076	1	1
GO:0030101	natural killer cell activation	NA	NA	0.04076	1	1
GO:0032695	negative regulation of interleukin-12 pr...	NA	NA	0.04077	1	1
GO:1902430	negative regulation of amyloid-beta form...	NA	NA	0.04077	1	1
GO:0042659	regulation of cell fate specification	NA	NA	0.04078	1	1
GO:0043523	regulation of neuron apoptotic process	NA	NA	0.04115	1	1
GO:0000288	nuclear-transcribed mRNA catabolic proce...	NA	NA	0.04153	1	1
GO:0051603	proteolysis involved in protein cataboli...	NA	NA	0.04169	1	1
GO:0010972	negative regulation of G2/M transition o...	NA	NA	0.04169	1	1
GO:0001889	liver development	NA	NA	0.04177	1	1
GO:0047496	vesicle transport along microtubule	NA	NA	0.04183	1	1
GO:1902808	positive regulation of cell cycle G1/S p...	NA	NA	0.04188	1	1
GO:0045910	negative regulation of DNA recombination	NA	NA	0.04189	1	1
GO:1904019	epithelial cell apoptotic process	NA	NA	0.04192	1	1
GO:0001649	osteoblast differentiation	NA	NA	0.04194	1	1
GO:0006968	cellular defense response	NA	NA	0.04195	1	1
GO:0060425	lung morphogenesis	NA	NA	0.04196	1	1
GO:0002011	morphogenesis of an epithelial sheet	NA	NA	0.04204	1	1
GO:0035020	regulation of Rac protein signal transdu...	NA	NA	0.04204	1	1
GO:0045717	negative regulation of fatty acid biosyn...	NA	NA	0.04206	1	1
GO:0060216	definitive hemopoiesis	NA	NA	0.04206	1	1
GO:1900407	regulation of cellular response to oxida...	NA	NA	0.04207	1	1
GO:0035455	response to interferon-alpha	NA	NA	0.04207	1	1
GO:0002755	MyD88-dependent toll-like receptor signa...	NA	NA	0.04209	1	1
GO:0051443	positive regulation of ubiquitin-protein...	NA	NA	0.04211	1	1
GO:0032897	negative regulation of viral transcripti...	NA	NA	0.04211	1	1
GO:0045869	negative regulation of single stranded v...	NA	NA	0.04211	1	1
GO:0051895	negative regulation of focal adhesion as...	NA	NA	0.04211	1	1
GO:0060546	negative regulation of necroptotic proce...	NA	NA	0.04211	1	1
GO:0099159	regulation of modification of postsynapt...	NA	NA	0.04214	1	1
GO:0010831	positive regulation of myotube different...	NA	NA	0.04215	1	1
GO:0071481	cellular response to X-ray	NA	NA	0.04215	1	1
GO:0000492	box C/D snoRNP assembly	NA	NA	0.04217	1	1
GO:0006625	protein targeting to peroxisome	NA	NA	0.04217	1	1
GO:0015937	coenzyme A biosynthetic process	NA	NA	0.04217	1	1
GO:0035457	cellular response to interferon-alpha	NA	NA	0.04217	1	1
GO:0042989	sequestering of actin monomers	NA	NA	0.04217	1	1
GO:0071803	positive regulation of podosome assembly	NA	NA	0.04217	1	1
GO:1902966	positive regulation of protein localizat...	NA	NA	0.04217	1	1
GO:1904667	negative regulation of ubiquitin protein...	NA	NA	0.04217	1	1
GO:1904871	positive regulation of protein localizat...	NA	NA	0.04217	1	1
GO:1904903	ESCRT III complex disassembly	NA	NA	0.04217	1	1
GO:0006388	tRNA splicing, via endonucleolytic cleav...	NA	NA	0.04218	1	1
GO:0045292	mRNA cis splicing, via spliceosome	NA	NA	0.04235	1	1
GO:0007179	transforming growth factor beta receptor...	NA	NA	0.04242	1	1
GO:0090263	positive regulation of canonical Wnt sig...	NA	NA	0.042659999999999997	1	1
GO:0038066	p38MAPK cascade	NA	NA	0.04269	1	1
GO:0006491	N-glycan processing	NA	NA	0.04293	1	1
GO:0051924	regulation of calcium ion transport	NA	NA	0.04293	1	1
GO:0071514	genomic imprinting	NA	NA	0.04299	1	1
GO:0003222	ventricular trabecula myocardium morphog...	NA	NA	0.043	1	1
GO:0006068	ethanol catabolic process	NA	NA	0.043	1	1
GO:0016075	rRNA catabolic process	NA	NA	0.043	1	1
GO:0034058	endosomal vesicle fusion	NA	NA	0.043	1	1
GO:0045019	negative regulation of nitric oxide bios...	NA	NA	0.043	1	1
GO:0071361	cellular response to ethanol	NA	NA	0.043	1	1
GO:0042059	negative regulation of epidermal growth ...	NA	NA	0.04305	1	1
GO:0071218	cellular response to misfolded protein	NA	NA	0.04308	1	1
GO:0032956	regulation of actin cytoskeleton organiz...	NA	NA	0.04313	1	1
GO:0035435	phosphate ion transmembrane transport	NA	NA	0.04316	1	1
GO:0010763	positive regulation of fibroblast migrat...	NA	NA	0.04317	1	1
GO:0031293	membrane protein intracellular domain pr...	NA	NA	0.04318	1	1
GO:0032793	positive regulation of CREB transcriptio...	NA	NA	0.04318	1	1
GO:0045060	negative thymic T cell selection	NA	NA	0.04318	1	1
GO:0071493	cellular response to UV-B	NA	NA	0.04318	1	1
GO:0090160	Golgi to lysosome transport	NA	NA	0.04318	1	1
GO:1904753	negative regulation of vascular associat...	NA	NA	0.04318	1	1
GO:0010457	centriole-centriole cohesion	NA	NA	0.04318	1	1
GO:0030071	regulation of mitotic metaphase/anaphase...	NA	NA	0.04352	1	1
GO:0071363	cellular response to growth factor stimu...	NA	NA	0.04613	1	1
GO:0008625	extrinsic apoptotic signaling pathway vi...	NA	NA	0.04617	1	1
GO:0070536	protein K63-linked deubiquitination	NA	NA	0.04646	1	1
GO:1903078	positive regulation of protein localizat...	NA	NA	0.04661	1	1
GO:0034614	cellular response to reactive oxygen spe...	NA	NA	0.04729	1	1
GO:0043280	positive regulation of cysteine-type end...	NA	NA	0.04899	1	1
GO:1990090	cellular response to nerve growth factor...	NA	NA	0.04966	1	1
GO:0060586	multicellular organismal-level iron ion ...	NA	NA	0.0497	1	1
GO:0042776	proton motive force-driven mitochondrial...	NA	NA	0.05039	1	1
GO:0070507	regulation of microtubule cytoskeleton o...	NA	NA	0.05159	1	1
GO:0031399	regulation of protein modification proce...	NA	NA	0.05203	1	1
GO:0006893	Golgi to plasma membrane transport	NA	NA	0.05248	1	1
GO:0031116	positive regulation of microtubule polym...	NA	NA	0.05283	1	1
GO:0006298	mismatch repair	NA	NA	0.05304	1	1
GO:1903077	negative regulation of protein localizat...	NA	NA	0.05311	1	1
GO:0045664	regulation of neuron differentiation	NA	NA	0.05369	1	1
GO:2000058	regulation of ubiquitin-dependent protei...	NA	NA	0.05451	1	1
GO:1901991	negative regulation of mitotic cell cycl...	NA	NA	0.0547	1	1
GO:2001234	negative regulation of apoptotic signali...	NA	NA	0.05474	1	1
GO:2000116	regulation of cysteine-type endopeptidas...	NA	NA	0.05499	1	1
GO:0051303	establishment of chromosome localization	NA	NA	0.05523	1	1
GO:0032506	cytokinetic process	NA	NA	0.05524	1	1
GO:0002474	antigen processing and presentation of p...	NA	NA	0.05524	1	1
GO:0070897	transcription preinitiation complex asse...	NA	NA	0.05524	1	1
GO:1904358	positive regulation of telomere maintena...	NA	NA	0.05525	1	1
GO:0072676	lymphocyte migration	NA	NA	0.05528	1	1
GO:0061097	regulation of protein tyrosine kinase ac...	NA	NA	0.05531	1	1
GO:0048729	tissue morphogenesis	NA	NA	0.05535	1	1
GO:0039535	regulation of RIG-I signaling pathway	NA	NA	0.05535	1	1
GO:1900102	negative regulation of endoplasmic retic...	NA	NA	0.05536	1	1
GO:1903055	positive regulation of extracellular mat...	NA	NA	0.05536	1	1
GO:0032785	negative regulation of DNA-templated tra...	NA	NA	0.05539	1	1
GO:1990182	exosomal secretion	NA	NA	0.05539	1	1
GO:0065002	intracellular protein transmembrane tran...	NA	NA	0.05539	1	1
GO:0010659	cardiac muscle cell apoptotic process	NA	NA	0.0554	1	1
GO:1900103	positive regulation of endoplasmic retic...	NA	NA	0.05541	1	1
GO:0032042	mitochondrial DNA metabolic process	NA	NA	0.05541	1	1
GO:1904779	regulation of protein localization to ce...	NA	NA	0.05541	1	1
GO:1902751	positive regulation of cell cycle G2/M p...	NA	NA	0.05542	1	1
GO:0071801	regulation of podosome assembly	NA	NA	0.05542	1	1
GO:0061724	lipophagy	NA	NA	0.05542	1	1
GO:0019218	regulation of steroid metabolic process	NA	NA	0.05544	1	1
GO:0034143	regulation of toll-like receptor 4 signa...	NA	NA	0.05544	1	1
GO:0097529	myeloid leukocyte migration	NA	NA	0.05545	1	1
GO:1902339	positive regulation of apoptotic process...	NA	NA	0.05545	1	1
GO:0034349	glial cell apoptotic process	NA	NA	0.05545	1	1
GO:1901355	response to rapamycin	NA	NA	0.05546	1	1
GO:1903003	positive regulation of protein deubiquit...	NA	NA	0.05546	1	1
GO:0048625	myoblast fate commitment	NA	NA	0.05547	1	1
GO:1901475	pyruvate transmembrane transport	NA	NA	0.05547	1	1
GO:0061430	bone trabecula morphogenesis	NA	NA	0.05547	1	1
GO:0001766	membrane raft polarization	NA	NA	0.05548	1	1
GO:0035879	plasma membrane lactate transport	NA	NA	0.05548	1	1
GO:0160075	non-canonical inflammasome complex assem...	NA	NA	0.05548	1	1
GO:1902416	positive regulation of mRNA binding	NA	NA	0.05548	1	1
GO:0051386	regulation of neurotrophin TRK receptor ...	NA	NA	0.05548	1	1
GO:2001198	regulation of dendritic cell differentia...	NA	NA	0.05548	1	1
GO:0043550	regulation of lipid kinase activity	NA	NA	0.05548	1	1
GO:1902033	regulation of hematopoietic stem cell pr...	NA	NA	0.05548	1	1
GO:0016076	snRNA catabolic process	NA	NA	0.05549	1	1
GO:0071034	CUT catabolic process	NA	NA	0.05549	1	1
GO:1902803	regulation of synaptic vesicle transport	NA	NA	0.05549	1	1
GO:1905049	negative regulation of metallopeptidase ...	NA	NA	0.05549	1	1
GO:2000583	regulation of platelet-derived growth fa...	NA	NA	0.05549	1	1
GO:0006054	N-acetylneuraminate metabolic process	NA	NA	0.05549	1	1
GO:0000962	positive regulation of mitochondrial RNA...	NA	NA	0.05549	1	1
GO:0002522	leukocyte migration involved in immune r...	NA	NA	0.05549	1	1
GO:0009631	cold acclimation	NA	NA	0.05549	1	1
GO:0010825	positive regulation of centrosome duplic...	NA	NA	0.05549	1	1
GO:0010909	positive regulation of heparan sulfate p...	NA	NA	0.05549	1	1
GO:0015821	methionine transport	NA	NA	0.05549	1	1
GO:0015828	tyrosine transport	NA	NA	0.05549	1	1
GO:0016182	synaptic vesicle budding from endosome	NA	NA	0.05549	1	1
GO:0017187	peptidyl-glutamic acid carboxylation	NA	NA	0.05549	1	1
GO:0017196	N-terminal peptidyl-methionine acetylati...	NA	NA	0.05549	1	1
GO:0021747	cochlear nucleus development	NA	NA	0.05549	1	1
GO:0021817	nucleokinesis involved in cell motility ...	NA	NA	0.05549	1	1
GO:0021897	forebrain astrocyte development	NA	NA	0.05549	1	1
GO:0023021	termination of signal transduction	NA	NA	0.05549	1	1
GO:0032226	positive regulation of synaptic transmis...	NA	NA	0.05549	1	1
GO:0032463	negative regulation of protein homooligo...	NA	NA	0.05549	1	1
GO:0033140	negative regulation of peptidyl-serine p...	NA	NA	0.05549	1	1
GO:0033387	putrescine biosynthetic process from orn...	NA	NA	0.05549	1	1
GO:0034462	small-subunit processome assembly	NA	NA	0.05549	1	1
GO:0044205	'de novo' UMP biosynthetic process	NA	NA	0.05549	1	1
GO:0045741	positive regulation of epidermal growth ...	NA	NA	0.05549	1	1
GO:0046604	positive regulation of mitotic centrosom...	NA	NA	0.05549	1	1
GO:0051343	positive regulation of cyclic-nucleotide...	NA	NA	0.05549	1	1
GO:0051563	smooth endoplasmic reticulum calcium ion...	NA	NA	0.05549	1	1
GO:0051684	maintenance of Golgi location	NA	NA	0.05549	1	1
GO:0060058	positive regulation of apoptotic process...	NA	NA	0.05549	1	1
GO:0060086	circadian temperature homeostasis	NA	NA	0.05549	1	1
GO:0060212	negative regulation of nuclear-transcrib...	NA	NA	0.05549	1	1
GO:0061198	fungiform papilla formation	NA	NA	0.05549	1	1
GO:0061738	late endosomal microautophagy	NA	NA	0.05549	1	1
GO:0070478	nuclear-transcribed mRNA catabolic proce...	NA	NA	0.05549	1	1
GO:0070681	glutaminyl-tRNAGln biosynthesis via tran...	NA	NA	0.05549	1	1
GO:0071409	cellular response to cycloheximide	NA	NA	0.05549	1	1
GO:0071423	malate transmembrane transport	NA	NA	0.05549	1	1
GO:0071629	cytoplasm protein quality control by the...	NA	NA	0.05549	1	1
GO:0090204	protein localization to nuclear pore	NA	NA	0.05549	1	1
GO:0090234	regulation of kinetochore assembly	NA	NA	0.05549	1	1
GO:0090292	nuclear matrix anchoring at nuclear memb...	NA	NA	0.05549	1	1
GO:0097051	establishment of protein localization to...	NA	NA	0.05549	1	1
GO:0098968	neurotransmitter receptor transport post...	NA	NA	0.05549	1	1
GO:0099074	mitochondrion to lysosome vesicle-mediat...	NA	NA	0.05549	1	1
GO:0099577	regulation of translation at presynapse,...	NA	NA	0.05549	1	1
GO:0099578	regulation of translation at postsynapse...	NA	NA	0.05549	1	1
GO:0106383	dAMP salvage	NA	NA	0.05549	1	1
GO:0110099	negative regulation of calcium import in...	NA	NA	0.05549	1	1
GO:0140249	protein catabolic process at postsynapse	NA	NA	0.05549	1	1
GO:0140285	endosome fission	NA	NA	0.05549	1	1
GO:0140501	positive regulation of reticulophagy	NA	NA	0.05549	1	1
GO:0141164	mitochondrial protein quality control	NA	NA	0.05549	1	1
GO:0160127	protein-RNA covalent cross-linking repai...	NA	NA	0.05549	1	1
GO:1900625	positive regulation of monocyte aggregat...	NA	NA	0.05549	1	1
GO:1901491	negative regulation of lymphangiogenesis	NA	NA	0.05549	1	1
GO:1902263	apoptotic process involved in embryonic ...	NA	NA	0.05549	1	1
GO:1902268	negative regulation of polyamine transme...	NA	NA	0.05549	1	1
GO:1902356	oxaloacetate(2-) transmembrane transport	NA	NA	0.05549	1	1
GO:1902499	positive regulation of protein autoubiqu...	NA	NA	0.05549	1	1
GO:1902511	negative regulation of apoptotic DNA fra...	NA	NA	0.05549	1	1
GO:1902524	positive regulation of protein K48-linke...	NA	NA	0.05549	1	1
GO:1902635	1-phosphatidyl-1D-myo-inositol 4,5-bisph...	NA	NA	0.05549	1	1
GO:1902661	positive regulation of glucose mediated ...	NA	NA	0.05549	1	1
GO:1903527	positive regulation of membrane tubulati...	NA	NA	0.05549	1	1
GO:1903679	positive regulation of cap-independent t...	NA	NA	0.05549	1	1
GO:1903843	cellular response to arsenite ion	NA	NA	0.05549	1	1
GO:1904381	Golgi apparatus mannose trimming	NA	NA	0.05549	1	1
GO:1904528	positive regulation of microtubule bindi...	NA	NA	0.05549	1	1
GO:1904582	positive regulation of intracellular mRN...	NA	NA	0.05549	1	1
GO:1905205	positive regulation of connective tissue...	NA	NA	0.05549	1	1
GO:1905552	positive regulation of protein localizat...	NA	NA	0.05549	1	1
GO:1990428	miRNA transport	NA	NA	0.05549	1	1
GO:1990785	response to water-immersion restraint st...	NA	NA	0.05549	1	1
GO:2000466	negative regulation of glycogen (starch)...	NA	NA	0.05549	1	1
GO:2000670	positive regulation of dendritic cell ap...	NA	NA	0.05549	1	1
GO:2001271	negative regulation of cysteine-type end...	NA	NA	0.05549	1	1
GO:0060352	cell adhesion molecule production	NA	NA	0.05549	1	1
GO:1904816	positive regulation of protein localizat...	NA	NA	0.05549	1	1
GO:0002863	positive regulation of inflammatory resp...	NA	NA	0.05551	1	1
GO:0031281	positive regulation of cyclase activity	NA	NA	0.05552	1	1
GO:0060717	chorion development	NA	NA	0.05553	1	1
GO:0006221	pyrimidine nucleotide biosynthetic proce...	NA	NA	0.05554	1	1
GO:0061308	cardiac neural crest cell development in...	NA	NA	0.05555	1	1
GO:0032252	secretory granule localization	NA	NA	0.05556	1	1
GO:0034369	plasma lipoprotein particle remodeling	NA	NA	0.05563	1	1
GO:0060632	regulation of microtubule-based movement	NA	NA	0.05569	1	1
GO:0023061	signal release	NA	NA	0.05576	1	1
GO:0001824	blastocyst development	NA	NA	0.05598	1	1
GO:0071539	protein localization to centrosome	NA	NA	0.0562	1	1
GO:2000773	negative regulation of cellular senescen...	NA	NA	0.05659	1	1
GO:0032760	positive regulation of tumor necrosis fa...	NA	NA	0.05764	1	1
GO:0014823	response to activity	NA	NA	0.05838	1	1
GO:0043933	protein-containing complex organization	NA	NA	0.05869	1	1
GO:0045824	negative regulation of innate immune res...	NA	NA	0.05961	1	1
GO:0006096	glycolytic process	NA	NA	0.05962	1	1
GO:0060324	face development	NA	NA	0.05995	1	1
GO:0006268	DNA unwinding involved in DNA replicatio...	NA	NA	0.06027	1	1
GO:0048535	lymph node development	NA	NA	0.06027	1	1
GO:0061744	motor behavior	NA	NA	0.06033	1	1
GO:0070050	neuron cellular homeostasis	NA	NA	0.06035	1	1
GO:1900087	positive regulation of G1/S transition o...	NA	NA	0.06039	1	1
GO:0007420	brain development	NA	NA	0.063	1	1
GO:0006906	vesicle fusion	NA	NA	0.06322	1	1
GO:0010906	regulation of glucose metabolic process	NA	NA	0.0633	1	1
GO:0010824	regulation of centrosome duplication	NA	NA	0.064	1	1
GO:0007369	gastrulation	NA	NA	0.06401	1	1
GO:0048384	retinoic acid receptor signaling pathway	NA	NA	0.06402	1	1
GO:2001224	positive regulation of neuron migration	NA	NA	0.06404	1	1
GO:1902018	negative regulation of cilium assembly	NA	NA	0.06406	1	1
GO:0035338	long-chain fatty-acyl-CoA biosynthetic p...	NA	NA	0.06408	1	1
GO:0033138	positive regulation of peptidyl-serine p...	NA	NA	0.06415	1	1
GO:0007173	epidermal growth factor receptor signali...	NA	NA	0.0666	1	1
GO:0006261	DNA-templated DNA replication	NA	NA	0.06706	1	1
GO:0007266	Rho protein signal transduction	NA	NA	0.0671	1	1
GO:0000731	DNA synthesis involved in DNA repair	NA	NA	0.06776	1	1
GO:0045591	positive regulation of regulatory T cell...	NA	NA	0.0678	1	1
GO:2000406	positive regulation of T cell migration	NA	NA	0.06781	1	1
GO:0046889	positive regulation of lipid biosyntheti...	NA	NA	0.06785	1	1
GO:0007076	mitotic chromosome condensation	NA	NA	0.06786	1	1
GO:0006878	intracellular copper ion homeostasis	NA	NA	0.06794	1	1
GO:0045198	establishment of epithelial cell apical/...	NA	NA	0.06794	1	1
GO:0045725	positive regulation of glycogen biosynth...	NA	NA	0.06794	1	1
GO:0060382	regulation of DNA strand elongation	NA	NA	0.06794	1	1
GO:0007162	negative regulation of cell adhesion	NA	NA	0.06826	1	1
GO:0097191	extrinsic apoptotic signaling pathway	NA	NA	0.06848	1	1
GO:0009410	response to xenobiotic stimulus	NA	NA	0.06893	1	1
GO:0007098	centrosome cycle	NA	NA	0.06913	1	1
GO:0006303	double-strand break repair via nonhomolo...	NA	NA	0.06957	1	1
GO:0031297	replication fork processing	NA	NA	0.06995	1	1
GO:0019886	antigen processing and presentation of e...	NA	NA	0.07018	1	1
GO:1900745	positive regulation of p38MAPK cascade	NA	NA	0.07018	1	1
GO:0031503	protein-containing complex localization	NA	NA	0.07049	1	1
GO:1902230	negative regulation of intrinsic apoptot...	NA	NA	0.07161	1	1
GO:0035162	embryonic hemopoiesis	NA	NA	0.07165	1	1
GO:0045820	negative regulation of glycolytic proces...	NA	NA	0.07166	1	1
GO:0044319	wound healing, spreading of cells	NA	NA	0.07168	1	1
GO:1901526	positive regulation of mitophagy	NA	NA	0.07171	1	1
GO:0006895	Golgi to endosome transport	NA	NA	0.07173	1	1
GO:0032736	positive regulation of interleukin-13 pr...	NA	NA	0.07174	1	1
GO:0035332	positive regulation of hippo signaling	NA	NA	0.07174	1	1
GO:0046598	positive regulation of viral entry into ...	NA	NA	0.07174	1	1
