GO.ID	Term	Annotated	Significant	Expected	Rank in weightFisher	classicFisher	weightFisher	p.adj
GO:0035303	regulation of dephosphorylation	31	13	11.85	2023	0.39924	0.15456	1
GO:1904861	excitatory synapse assembly	42	17	16.05	2024	0.43822	0.15457	1
GO:0006312	mitotic recombination	25	10	9.55	2025	0.50208	0.15461	1
GO:0045762	positive regulation of adenylate cyclase...	25	8	9.55	2026	0.79948	0.15474	1
GO:0006691	leukotriene metabolic process	31	9	11.85	2027	0.89395	0.15482	1
GO:0046631	alpha-beta T cell activation	194	115	74.13	2028	2.0e-09	0.15630	1
GO:1903052	positive regulation of proteolysis invol...	137	88	52.35	2029	5.7e-10	0.15660	1
GO:0045637	regulation of myeloid cell differentiati...	214	117	81.77	2030	6.7e-07	0.15661	1
GO:1905037	autophagosome organization	125	83	47.76	2031	1.5e-10	0.15662	1
GO:0061014	positive regulation of mRNA catabolic pr...	107	74	40.89	2032	7.9e-11	0.15674	1
GO:1904385	cellular response to angiotensin	35	17	13.37	2033	0.13858	0.15687	1
GO:1903432	regulation of TORC1 signaling	95	65	36.3	2034	2.2e-09	0.15698	1
GO:0006103	2-oxoglutarate metabolic process	17	9	6.5	2035	0.15838	0.15699	1
GO:1901874	negative regulation of post-translationa...	93	61	35.54	2036	7.8e-08	0.15716	1
GO:0007519	skeletal muscle tissue development	178	80	68.02	2037	0.03848	0.15733	1
GO:0050856	regulation of T cell receptor signaling ...	49	38	18.72	2038	2.2e-08	0.15750	1
GO:0001916	positive regulation of T cell mediated c...	40	19	15.28	2039	0.14763	0.15751	1
GO:0072538	T-helper 17 type immune response	55	37	21.02	2040	1.2e-05	0.15768	1
GO:0046902	regulation of mitochondrial membrane per...	54	34	20.63	2041	0.00020	0.15782	1
GO:1903749	positive regulation of establishment of ...	36	27	13.76	2042	7.9e-06	0.15783	1
GO:0019081	viral translation	25	21	9.55	2043	3.4e-06	0.15793	1
GO:0042306	regulation of protein import into nucleu...	61	34	23.31	2044	0.00403	0.15797	1
GO:0061515	myeloid cell development	90	45	34.39	2045	0.01484	0.15797	1
GO:0045048	protein insertion into ER membrane	32	21	12.23	2046	0.00153	0.15808	1
GO:0045622	regulation of T-helper cell differentiat...	48	27	18.34	2047	0.00839	0.15808	1
GO:0007091	metaphase/anaphase transition of mitotic...	97	44	37.06	2048	0.08971	0.15817	1
GO:0032655	regulation of interleukin-12 production	63	31	24.07	2049	0.04891	0.15818	1
GO:0032369	negative regulation of lipid transport	27	17	10.32	2050	0.00793	0.15819	1
GO:0048679	regulation of axon regeneration	29	17	11.08	2051	0.02049	0.15823	1
GO:0032368	regulation of lipid transport	132	56	50.44	2052	0.18120	0.15825	1
GO:0051645	Golgi localization	14	11	5.35	2053	0.00254	0.15825	1
GO:0019674	NAD metabolic process	64	30	24.46	2054	0.09776	0.15825	1
GO:0000054	ribosomal subunit export from nucleus	15	11	5.73	2055	0.00623	0.15827	1
GO:0048194	Golgi vesicle budding	10	9	3.82	2056	0.00114	0.15827	1
GO:0070884	regulation of calcineurin-NFAT signaling...	39	20	14.9	2057	0.06620	0.15828	1
GO:2000677	regulation of transcription regulatory r...	34	18	12.99	2058	0.05728	0.15828	1
GO:0050798	activated T cell proliferation	46	22	17.58	2059	0.11742	0.15831	1
GO:1905671	regulation of lysosome organization	12	9	4.59	2060	0.01086	0.15832	1
GO:0070424	regulation of nucleotide-binding domain,...	15	10	5.73	2061	0.02415	0.15832	1
GO:0036446	myofibroblast differentiation	10	8	3.82	2062	0.00893	0.15833	1
GO:0034088	maintenance of mitotic sister chromatid ...	13	9	4.97	2063	0.02338	0.15834	1
GO:1903901	negative regulation of viral life cycle	29	15	11.08	2064	0.09679	0.15834	1
GO:0033599	regulation of mammary gland epithelial c...	16	10	6.11	2065	0.04261	0.15834	1
GO:0002666	positive regulation of T cell tolerance ...	9	7	3.44	2066	0.01903	0.15836	1
GO:0006012	galactose metabolic process	10	7	3.82	2067	0.04258	0.15838	1
GO:1901142	insulin metabolic process	16	9	6.11	2068	0.11090	0.15840	1
GO:0039530	MDA-5 signaling pathway	11	7	4.2	2069	0.07897	0.15840	1
GO:0009298	GDP-mannose biosynthetic process	6	5	2.29	2070	0.03329	0.15841	1
GO:1902950	regulation of dendritic spine maintenanc...	12	7	4.59	2071	0.12845	0.15842	1
GO:2000321	positive regulation of T-helper 17 cell ...	12	7	4.59	2072	0.12845	0.15842	1
GO:1901031	regulation of response to reactive oxyge...	10	6	3.82	2073	0.13784	0.15844	1
GO:0006450	regulation of translational fidelity	18	9	6.88	2074	0.21380	0.15844	1
GO:0002685	regulation of leukocyte migration	233	91	89.03	2075	0.41916	0.15844	1
GO:0015818	isoleucine transport	5	4	1.91	2076	0.07398	0.15844	1
GO:1903803	L-glutamine import across plasma membran...	5	4	1.91	2077	0.07398	0.15844	1
GO:0045006	DNA deamination	13	7	4.97	2078	0.18960	0.15845	1
GO:0045822	negative regulation of heart contraction	21	10	8.02	2079	0.25089	0.15845	1
GO:0070427	nucleotide-binding oligomerization domai...	8	5	3.06	2080	0.14718	0.15845	1
GO:0090400	stress-induced premature senescence	8	5	3.06	2081	0.14718	0.15845	1
GO:0061458	reproductive system development	315	122	120.37	2082	0.44552	0.15846	1
GO:0060049	regulation of protein glycosylation	11	6	4.2	2083	0.20848	0.15846	1
GO:0055118	negative regulation of cardiac muscle co...	6	4	2.29	2084	0.15537	0.15846	1
GO:0060215	primitive hemopoiesis	9	5	3.44	2085	0.23029	0.15847	1
GO:0000455	enzyme-directed rRNA pseudouridine synth...	4	3	1.53	2086	0.15919	0.15848	1
GO:0000720	pyrimidine dimer repair by nucleotide-ex...	4	3	1.53	2087	0.15919	0.15848	1
GO:0001555	oocyte growth	4	3	1.53	2088	0.15919	0.15848	1
GO:0001922	B-1 B cell homeostasis	4	3	1.53	2089	0.15919	0.15848	1
GO:0002906	negative regulation of mature B cell apo...	4	3	1.53	2090	0.15919	0.15848	1
GO:0003332	negative regulation of extracellular mat...	4	3	1.53	2091	0.15919	0.15848	1
GO:0003383	apical constriction	4	3	1.53	2092	0.15919	0.15848	1
GO:0006058	mannoprotein catabolic process	4	3	1.53	2093	0.15919	0.15848	1
GO:0006391	transcription initiation at mitochondria...	4	3	1.53	2094	0.15919	0.15848	1
GO:0006550	isoleucine catabolic process	4	3	1.53	2095	0.15919	0.15848	1
GO:0006659	phosphatidylserine biosynthetic process	4	3	1.53	2096	0.15919	0.15848	1
GO:0006768	biotin metabolic process	4	3	1.53	2097	0.15919	0.15848	1
GO:0007296	vitellogenesis	4	3	1.53	2098	0.15919	0.15848	1
GO:0008635	activation of cysteine-type endopeptidas...	4	3	1.53	2099	0.15919	0.15848	1
GO:0010836	negative regulation of protein ADP-ribos...	4	3	1.53	2100	0.15919	0.15848	1
GO:0014839	myoblast migration involved in skeletal ...	4	3	1.53	2101	0.15919	0.15848	1
GO:0015910	long-chain fatty acid import into peroxi...	4	3	1.53	2102	0.15919	0.15848	1
GO:0019086	late viral transcription	4	3	1.53	2103	0.15919	0.15848	1
GO:0021678	third ventricle development	4	3	1.53	2104	0.15919	0.15848	1
GO:0021943	formation of radial glial scaffolds	4	3	1.53	2105	0.15919	0.15848	1
GO:0030043	actin filament fragmentation	4	3	1.53	2106	0.15919	0.15848	1
GO:0030207	chondroitin sulfate catabolic process	4	3	1.53	2107	0.15919	0.15848	1
GO:0030209	dermatan sulfate catabolic process	4	3	1.53	2108	0.15919	0.15848	1
GO:0030576	Cajal body organization	4	3	1.53	2109	0.15919	0.15848	1
GO:0031442	positive regulation of mRNA 3'-end proce...	4	3	1.53	2110	0.15919	0.15848	1
GO:0031508	pericentric heterochromatin formation	4	3	1.53	2111	0.15919	0.15848	1
GO:0032792	negative regulation of CREB transcriptio...	4	3	1.53	2112	0.15919	0.15848	1
GO:0033153	T cell receptor V(D)J recombination	4	3	1.53	2113	0.15919	0.15848	1
GO:0034378	chylomicron assembly	4	3	1.53	2114	0.15919	0.15848	1
GO:0035063	nuclear speck organization	4	3	1.53	2115	0.15919	0.15848	1
GO:0038116	chemokine (C-C motif) ligand 21 signalin...	4	3	1.53	2116	0.15919	0.15848	1
GO:0042986	positive regulation of amyloid precursor...	4	3	1.53	2117	0.15919	0.15848	1
GO:0045728	respiratory burst after phagocytosis	4	3	1.53	2118	0.15919	0.15848	1
GO:0045899	positive regulation of RNA polymerase II...	4	3	1.53	2119	0.15919	0.15848	1
GO:0045901	positive regulation of translational elo...	4	3	1.53	2120	0.15919	0.15848	1
GO:0046166	glyceraldehyde-3-phosphate biosynthetic ...	4	3	1.53	2121	0.15919	0.15848	1
GO:0048597	post-embryonic camera-type eye morphogen...	4	3	1.53	2122	0.15919	0.15848	1
GO:0048642	negative regulation of skeletal muscle t...	4	3	1.53	2123	0.15919	0.15848	1
GO:0050689	negative regulation of defense response ...	4	3	1.53	2124	0.15919	0.15848	1
GO:0051097	negative regulation of helicase activity	4	3	1.53	2125	0.15919	0.15848	1
GO:0060486	club cell differentiation	4	3	1.53	2126	0.15919	0.15848	1
GO:0061030	epithelial cell differentiation involved...	4	3	1.53	2127	0.15919	0.15848	1
GO:0070433	negative regulation of nucleotide-bindin...	4	3	1.53	2128	0.15919	0.15848	1
GO:0071228	cellular response to tumor cell	4	3	1.53	2129	0.15919	0.15848	1
GO:0071344	diphosphate metabolic process	4	3	1.53	2130	0.15919	0.15848	1
GO:0071494	cellular response to UV-C	4	3	1.53	2131	0.15919	0.15848	1
GO:0071630	nuclear protein quality control by the u...	4	3	1.53	2132	0.15919	0.15848	1
GO:0072385	minus-end-directed organelle transport a...	4	3	1.53	2133	0.15919	0.15848	1
GO:0072752	cellular response to rapamycin	4	3	1.53	2134	0.15919	0.15848	1
GO:0090669	telomerase RNA stabilization	4	3	1.53	2135	0.15919	0.15848	1
GO:0097022	lymphocyte migration into lymph node	4	3	1.53	2136	0.15919	0.15848	1
GO:0110091	negative regulation of hippocampal neuro...	4	3	1.53	2137	0.15919	0.15848	1
GO:0140252	regulation protein catabolic process at ...	4	3	1.53	2138	0.15919	0.15848	1
GO:0140958	target-directed miRNA degradation	4	3	1.53	2139	0.15919	0.15848	1
GO:0150111	regulation of transepithelial transport	4	3	1.53	2140	0.15919	0.15848	1
GO:1900045	negative regulation of protein K63-linke...	4	3	1.53	2141	0.15919	0.15848	1
GO:1902262	apoptotic process involved in blood vess...	4	3	1.53	2142	0.15919	0.15848	1
GO:1902953	positive regulation of ER to Golgi vesic...	4	3	1.53	2143	0.15919	0.15848	1
GO:1903061	positive regulation of protein lipidatio...	4	3	1.53	2144	0.15919	0.15848	1
GO:1903278	positive regulation of sodium ion export...	4	3	1.53	2145	0.15919	0.15848	1
GO:1903378	positive regulation of oxidative stress-...	4	3	1.53	2146	0.15919	0.15848	1
GO:1903542	negative regulation of exosomal secretio...	4	3	1.53	2147	0.15919	0.15848	1
GO:1903860	negative regulation of dendrite extensio...	4	3	1.53	2148	0.15919	0.15848	1
GO:1904382	mannose trimming involved in glycoprotei...	4	3	1.53	2149	0.15919	0.15848	1
GO:1904539	negative regulation of glycolytic proces...	4	3	1.53	2150	0.15919	0.15848	1
GO:1904761	negative regulation of myofibroblast dif...	4	3	1.53	2151	0.15919	0.15848	1
GO:1904878	negative regulation of calcium ion trans...	4	3	1.53	2152	0.15919	0.15848	1
GO:1905007	positive regulation of epithelial to mes...	4	3	1.53	2153	0.15919	0.15848	1
GO:1905686	positive regulation of plasma membrane r...	4	3	1.53	2154	0.15919	0.15848	1
GO:1990044	protein localization to lipid droplet	4	3	1.53	2155	0.15919	0.15848	1
GO:1990180	mitochondrial tRNA 3'-end processing	4	3	1.53	2156	0.15919	0.15848	1
GO:1990809	endoplasmic reticulum tubular network me...	4	3	1.53	2157	0.15919	0.15848	1
GO:1990966	ATP generation from poly-ADP-D-ribose	4	3	1.53	2158	0.15919	0.15848	1
GO:2000481	positive regulation of cAMP-dependent pr...	4	3	1.53	2159	0.15919	0.15848	1
GO:2000566	positive regulation of CD8-positive, alp...	4	3	1.53	2160	0.15919	0.15848	1
GO:2000587	negative regulation of platelet-derived ...	4	3	1.53	2161	0.15919	0.15848	1
GO:2001200	positive regulation of dendritic cell di...	4	3	1.53	2162	0.15919	0.15848	1
GO:0045576	mast cell activation	70	28	26.75	2163	0.42291	0.15849	1
GO:0003177	pulmonary valve development	23	10	8.79	2164	0.37451	0.15849	1
GO:0002317	plasma cell differentiation	10	5	3.82	2165	0.32275	0.15849	1
GO:0002029	desensitization of G protein-coupled rec...	18	8	6.88	2166	0.37517	0.15850	1
GO:0001765	membrane raft assembly	11	5	4.2	2167	0.41797	0.15851	1
GO:0031340	positive regulation of vesicle fusion	12	5	4.59	2168	0.51043	0.15853	1
GO:0021695	cerebellar cortex development	54	21	20.63	2169	0.51056	0.15854	1
GO:0043567	regulation of insulin-like growth factor...	23	9	8.79	2170	0.54240	0.15854	1
GO:0006213	pyrimidine nucleoside metabolic process	18	7	6.88	2171	0.56497	0.15855	1
GO:0030201	heparan sulfate proteoglycan metabolic p...	16	6	6.11	2172	0.61614	0.15856	1
GO:0060669	embryonic placenta morphogenesis	26	9	9.93	2173	0.71475	0.15861	1
GO:0048013	ephrin receptor signaling pathway	51	24	19.49	2174	0.12408	0.15871	1
GO:0007260	tyrosine phosphorylation of STAT protein	60	19	22.93	2175	0.88157	0.15877	1
GO:0030100	regulation of endocytosis	298	137	113.87	2176	0.00352	0.15922	1
GO:0060071	Wnt signaling pathway, planar cell polar...	45	21	17.2	2177	0.15505	0.16090	1
GO:0045773	positive regulation of axon extension	38	17	14.52	2178	0.25199	0.16109	1
GO:0001937	negative regulation of endothelial cell ...	43	18	16.43	2179	0.36454	0.16123	1
GO:0045453	bone resorption	68	31	25.98	2180	0.12987	0.16159	1
GO:0046835	carbohydrate phosphorylation	24	12	9.17	2181	0.16355	0.16187	1
GO:0051131	chaperone-mediated protein complex assem...	24	12	9.17	2182	0.16355	0.16187	1
GO:0034605	cellular response to heat	65	39	24.84	2183	0.00030	0.16314	1
GO:0098656	monoatomic anion transmembrane transport	147	44	56.17	2184	0.98570	0.16323	1
GO:0051493	regulation of cytoskeleton organization	520	279	198.7	2185	3.4e-13	0.16325	1
GO:0010976	positive regulation of neuron projection...	158	67	60.37	2186	0.15695	0.16565	1
GO:0016071	mRNA metabolic process	1982	585	757.35	2187	1.00000	0.16718	1
GO:0065003	protein-containing complex assembly	2981	987	1139.08	2188	1.00000	0.16829	1
GO:0032355	response to estradiol	120	48	45.85	2189	0.37573	0.16855	1
GO:0043434	response to peptide hormone	439	223	167.75	2190	4.1e-08	0.16887	1
GO:2001243	negative regulation of intrinsic apoptot...	103	61	39.36	2191	1.2e-05	0.16959	1
GO:0050848	regulation of calcium-mediated signaling	99	46	37.83	2192	0.05697	0.17102	1
GO:0032801	receptor catabolic process	28	17	10.7	2193	0.01307	0.17123	1
GO:0051457	maintenance of protein location in nucle...	24	13	9.17	2194	0.08242	0.17149	1
GO:0032482	Rab protein signal transduction	22	12	8.41	2195	0.08874	0.17152	1
GO:0045651	positive regulation of macrophage differ...	16	9	6.11	2196	0.11090	0.17159	1
GO:0050775	positive regulation of dendrite morphoge...	35	16	13.37	2197	0.22790	0.17162	1
GO:0032700	negative regulation of interleukin-17 pr...	15	8	5.73	2198	0.17304	0.17166	1
GO:0045176	apical protein localization	15	8	5.73	2199	0.17304	0.17166	1
GO:0046007	negative regulation of activated T cell ...	15	8	5.73	2200	0.17304	0.17166	1
GO:0046512	sphingosine biosynthetic process	15	8	5.73	2201	0.17304	0.17166	1
GO:0060766	negative regulation of androgen receptor...	15	8	5.73	2202	0.17304	0.17166	1
GO:0070885	negative regulation of calcineurin-NFAT ...	15	8	5.73	2203	0.17304	0.17166	1
GO:1900119	positive regulation of execution phase o...	15	8	5.73	2204	0.17304	0.17166	1
GO:1902166	negative regulation of intrinsic apoptot...	15	8	5.73	2205	0.17304	0.17166	1
GO:2001256	regulation of store-operated calcium ent...	15	8	5.73	2206	0.17304	0.17166	1
GO:0062009	secondary palate development	26	12	9.93	2207	0.26090	0.17168	1
GO:0032228	regulation of synaptic transmission, GAB...	37	14	14.14	2208	0.58034	0.17191	1
GO:0045930	negative regulation of mitotic cell cycl...	238	130	90.94	2209	1.8e-07	0.17192	1
GO:0034341	response to type II interferon	122	67	46.62	2210	0.00013	0.17437	1
GO:0000375	RNA splicing, via transesterification re...	1544	309	589.98	2211	1.00000	0.17563	1
GO:0035024	negative regulation of Rho protein signa...	22	11	8.41	2212	0.17838	0.17669	1
GO:1904706	negative regulation of vascular associat...	22	11	8.41	2213	0.17838	0.17669	1
GO:0071260	cellular response to mechanical stimulus	75	33	28.66	2214	0.17980	0.17670	1
GO:0031295	T cell costimulation	48	23	18.34	2215	0.10895	0.17791	1
GO:0032526	response to retinoic acid	112	45	42.8	2216	0.36740	0.17834	1
GO:0002062	chondrocyte differentiation	120	44	45.85	2217	0.66906	0.17906	1
GO:0048666	neuron development	1171	479	447.45	2218	0.02745	0.17981	1
GO:0051289	protein homotetramerization	63	28	24.07	2219	0.18621	0.18330	1
GO:0000723	telomere maintenance	162	106	61.9	2220	1.8e-12	0.18381	1
GO:0045580	regulation of T cell differentiation	189	114	72.22	2221	5.4e-10	0.18404	1
GO:0032434	regulation of proteasomal ubiquitin-depe...	130	85	49.67	2222	2.9e-10	0.18473	1
GO:0071276	cellular response to cadmium ion	37	17	14.14	2223	0.21066	0.18494	1
GO:0030111	regulation of Wnt signaling pathway	329	155	125.71	2224	0.00056	0.18532	1
GO:0048489	synaptic vesicle transport	43	27	16.43	2225	0.00094	0.18734	1
GO:0051489	regulation of filopodium assembly	50	29	19.11	2226	0.00352	0.18741	1
GO:0046323	D-glucose import	75	38	28.66	2227	0.01867	0.18746	1
GO:0006479	protein methylation	48	25	18.34	2228	0.03495	0.18775	1
GO:0050687	negative regulation of defense response ...	17	10	6.5	2229	0.06870	0.18808	1
GO:0060644	mammary gland epithelial cell differenti...	17	10	6.5	2230	0.06870	0.18808	1
GO:0034138	toll-like receptor 3 signaling pathway	25	13	9.55	2231	0.11341	0.18809	1
GO:0070102	interleukin-6-mediated signaling pathway	18	10	6.88	2232	0.10295	0.18812	1
GO:0097178	ruffle assembly	44	19	16.81	2233	0.29730	0.18822	1
GO:0043517	positive regulation of DNA damage respon...	18	9	6.88	2234	0.21380	0.18822	1
GO:0030278	regulation of ossification	123	49	47	2235	0.38753	0.18823	1
GO:0010666	positive regulation of cardiac muscle ce...	13	7	4.97	2236	0.18960	0.18823	1
GO:0010745	negative regulation of macrophage derive...	13	7	4.97	2237	0.18960	0.18823	1
GO:0010944	negative regulation of transcription by ...	13	7	4.97	2238	0.18960	0.18823	1
GO:0034144	negative regulation of toll-like recepto...	13	7	4.97	2239	0.18960	0.18823	1
GO:0042761	very long-chain fatty acid biosynthetic ...	13	7	4.97	2240	0.18960	0.18823	1
GO:0061029	eyelid development in camera-type eye	13	7	4.97	2241	0.18960	0.18823	1
GO:0070914	UV-damage excision repair	13	7	4.97	2242	0.18960	0.18823	1
GO:0071257	cellular response to electrical stimulus	13	7	4.97	2243	0.18960	0.18823	1
GO:0071679	commissural neuron axon guidance	13	7	4.97	2244	0.18960	0.18823	1
GO:0097202	activation of cysteine-type endopeptidas...	13	7	4.97	2245	0.18960	0.18823	1
GO:2000562	negative regulation of CD4-positive, alp...	13	7	4.97	2246	0.18960	0.18823	1
GO:0002082	regulation of oxidative phosphorylation	22	10	8.41	2247	0.31132	0.18828	1
GO:0006469	negative regulation of protein kinase ac...	138	78	52.73	2248	9.3e-06	0.18851	1
GO:0030177	positive regulation of Wnt signaling pat...	143	66	54.64	2249	0.03132	0.18923	1
GO:0030593	neutrophil chemotaxis	84	34	32.1	2250	0.37325	0.18933	1
GO:0048812	neuron projection morphogenesis	660	272	252.19	2251	0.05832	0.18934	1
GO:0030048	actin filament-based movement	136	43	51.97	2252	0.95462	0.18939	1
GO:0061157	mRNA destabilization	102	70	38.98	2253	4.4e-10	0.18955	1
GO:0048870	cell motility	1778	703	679.39	2254	0.11870	0.19009	1
GO:0042832	defense response to protozoan	27	13	10.32	2255	0.19251	0.19055	1
GO:0046847	filopodium assembly	70	39	26.75	2256	0.00217	0.19201	1
GO:0016266	O-glycan processing	40	19	15.28	2257	0.14763	0.19242	1
GO:0046628	positive regulation of insulin receptor ...	24	14	9.17	2258	0.03614	0.19299	1
GO:0030150	protein import into mitochondrial matrix	20	10	7.64	2259	0.19502	0.19331	1
GO:0045780	positive regulation of bone resorption	20	10	7.64	2260	0.19502	0.19331	1
GO:0090141	positive regulation of mitochondrial fis...	20	10	7.64	2261	0.19502	0.19331	1
GO:2000010	positive regulation of protein localizat...	20	10	7.64	2262	0.19502	0.19331	1
GO:0021772	olfactory bulb development	36	16	13.76	2263	0.27206	0.19333	1
GO:0032755	positive regulation of interleukin-6 pro...	98	42	37.45	2264	0.19853	0.19477	1
GO:0008333	endosome to lysosome transport	71	39	27.13	2265	0.00306	0.19677	1
GO:0045862	positive regulation of proteolysis	315	183	120.37	2266	4.9e-13	0.20084	1
GO:0034101	erythrocyte homeostasis	147	92	56.17	2267	1.7e-09	0.20364	1
GO:0006367	transcription initiation at RNA polymera...	170	89	64.96	2268	0.00012	0.20452	1
GO:0016051	carbohydrate biosynthetic process	199	100	76.04	2269	0.00034	0.20484	1
GO:0006998	nuclear envelope organization	58	38	22.16	2270	2.3e-05	0.20570	1
GO:0006754	ATP biosynthetic process	91	48	34.77	2271	0.00332	0.20597	1
GO:0001525	angiogenesis	546	228	208.63	2272	0.04652	0.20622	1
GO:0016242	negative regulation of macroautophagy	36	24	13.76	2273	0.00050	0.20628	1
GO:0010591	regulation of lamellipodium assembly	39	25	14.9	2274	0.00093	0.20629	1
GO:0009792	embryo development ending in birth or eg...	691	307	264.04	2275	0.00039	0.20650	1
GO:0016556	mRNA modification	21	15	8.02	2276	0.00208	0.20662	1
GO:0014009	glial cell proliferation	58	29	22.16	2277	0.04457	0.20663	1
GO:0006308	DNA catabolic process	32	17	12.23	2278	0.06156	0.20684	1
GO:0008298	intracellular mRNA localization	15	10	5.73	2279	0.02415	0.20689	1
GO:0032511	late endosome to vacuole transport via m...	27	14	10.32	2280	0.10471	0.20695	1
GO:0045577	regulation of B cell differentiation	35	17	13.37	2281	0.13858	0.20696	1
GO:0060856	establishment of blood-brain barrier	17	10	6.5	2282	0.06870	0.20697	1
GO:0070828	heterochromatin organization	13	8	4.97	2283	0.07603	0.20702	1
GO:1904044	response to aldosterone	19	10	7.26	2284	0.14530	0.20705	1
GO:0033539	fatty acid beta-oxidation using acyl-CoA...	12	7	4.59	2285	0.12845	0.20708	1
GO:0034454	microtubule anchoring at centrosome	12	7	4.59	2286	0.12845	0.20708	1
GO:0048103	somatic stem cell division	12	7	4.59	2287	0.12845	0.20708	1
GO:0048671	negative regulation of collateral sprout...	12	7	4.59	2288	0.12845	0.20708	1
GO:0060379	cardiac muscle cell myoblast differentia...	12	7	4.59	2289	0.12845	0.20708	1
GO:1902043	positive regulation of extrinsic apoptot...	12	7	4.59	2290	0.12845	0.20708	1
GO:0051036	regulation of endosome size	13	7	4.97	2291	0.18960	0.20712	1
GO:1903377	negative regulation of oxidative stress-...	13	7	4.97	2292	0.18960	0.20712	1
GO:0000338	protein deneddylation	11	6	4.2	2293	0.20848	0.20715	1
GO:0006307	DNA alkylation repair	11	6	4.2	2294	0.20848	0.20715	1
GO:0006703	estrogen biosynthetic process	11	6	4.2	2295	0.20848	0.20715	1
GO:0010764	negative regulation of fibroblast migrat...	11	6	4.2	2296	0.20848	0.20715	1
GO:0033327	Leydig cell differentiation	11	6	4.2	2297	0.20848	0.20715	1
GO:0045654	positive regulation of megakaryocyte dif...	11	6	4.2	2298	0.20848	0.20715	1
GO:0060020	Bergmann glial cell differentiation	11	6	4.2	2299	0.20848	0.20715	1
GO:0072711	cellular response to hydroxyurea	11	6	4.2	2300	0.20848	0.20715	1
GO:0090331	negative regulation of platelet aggregat...	11	6	4.2	2301	0.20848	0.20715	1
GO:2000347	positive regulation of hepatocyte prolif...	11	6	4.2	2302	0.20848	0.20715	1
GO:2000672	negative regulation of motor neuron apop...	11	6	4.2	2303	0.20848	0.20715	1
GO:2001171	positive regulation of ATP biosynthetic ...	11	6	4.2	2304	0.20848	0.20715	1
GO:0051775	response to redox state	14	7	5.35	2305	0.25979	0.20716	1
GO:0060576	intestinal epithelial cell development	17	8	6.5	2306	0.30345	0.20718	1
GO:0007229	integrin-mediated signaling pathway	116	45	44.32	2307	0.48365	0.20721	1
GO:0045197	establishment or maintenance of epitheli...	52	26	19.87	2308	0.05526	0.20727	1
GO:1905820	positive regulation of chromosome separa...	32	12	12.23	2309	0.59898	0.20735	1
GO:0043279	response to alkaloid	102	37	38.98	2310	0.69127	0.20753	1
GO:0045786	negative regulation of cell cycle	391	203	149.41	2311	1.9e-08	0.20753	1
GO:0010719	negative regulation of epithelial to mes...	40	19	15.28	2312	0.14763	0.20809	1
GO:0048873	homeostasis of number of cells within a ...	38	18	14.52	2313	0.15960	0.20813	1
GO:0008340	determination of adult lifespan	37	17	14.14	2314	0.21066	0.20825	1
GO:1904707	positive regulation of vascular associat...	37	17	14.14	2315	0.21066	0.20825	1
GO:0032570	response to progesterone	44	19	16.81	2316	0.29730	0.20837	1
GO:0016485	protein processing	242	107	92.47	2317	0.03169	0.20938	1
GO:0048144	fibroblast proliferation	107	46	40.89	2318	0.17836	0.21168	1
GO:0050807	regulation of synapse organization	309	123	118.07	2319	0.29957	0.21169	1
GO:0045332	phospholipid translocation	53	25	20.25	2320	0.11532	0.21174	1
GO:0050770	regulation of axonogenesis	146	60	55.79	2321	0.26164	0.21180	1
GO:0061098	positive regulation of protein tyrosine ...	21	12	8.02	2322	0.06104	0.21184	1
GO:0050765	negative regulation of phagocytosis	21	11	8.02	2323	0.13356	0.21197	1
GO:0097401	synaptic vesicle lumen acidification	19	10	7.26	2324	0.14530	0.21201	1
GO:0045721	negative regulation of gluconeogenesis	18	9	6.88	2325	0.21380	0.21209	1
GO:0090201	negative regulation of release of cytoch...	18	9	6.88	2326	0.21380	0.21209	1
GO:0035994	response to muscle stretch	25	11	9.55	2327	0.34352	0.21218	1
GO:0071404	cellular response to low-density lipopro...	30	12	11.46	2328	0.48855	0.21229	1
GO:0007507	heart development	601	246	229.65	2329	0.08868	0.21246	1
GO:0048468	cell development	2868	1211	1095.9	2330	1.1e-06	0.21613	1
GO:0060412	ventricular septum morphogenesis	40	18	15.28	2331	0.23356	0.21802	1
GO:0090307	mitotic spindle assembly	75	40	28.66	2332	0.00544	0.21998	1
GO:0050870	positive regulation of T cell activation	255	142	97.44	2333	9.6e-09	0.22058	1
GO:0001819	positive regulation of cytokine producti...	493	235	188.38	2334	9.3e-06	0.22178	1
GO:0009725	response to hormone	904	421	345.43	2335	9.6e-08	0.22405	1
GO:0060627	regulation of vesicle-mediated transport	530	251	202.52	2336	8.5e-06	0.22423	1
GO:0000956	nuclear-transcribed mRNA catabolic proce...	126	91	48.15	2337	8.3e-15	0.22491	1
GO:0031032	actomyosin structure organization	212	91	81.01	2338	0.08931	0.22593	1
GO:0002437	inflammatory response to antigenic stimu...	78	36	29.8	2339	0.09273	0.22654	1
GO:0097192	extrinsic apoptotic signaling pathway in...	70	31	26.75	2340	0.17724	0.22684	1
GO:0006911	phagocytosis, engulfment	53	24	20.25	2341	0.17851	0.22692	1
GO:0060999	positive regulation of dendritic spine d...	43	19	16.43	2342	0.25572	0.22710	1
GO:0046597	negative regulation of viral entry into ...	23	11	8.79	2343	0.22917	0.22716	1
GO:1903861	positive regulation of dendrite extensio...	23	11	8.79	2344	0.22917	0.22716	1
